ticket_id,customer_id,ticket_date,account_age_days,num_prev_tickets,avg_response_time_prev,product_category,issue_type,priority,ticket_text,urgent_flag
T00011,C4908,2025-10-13 17:00:42,1333,3,39.44,Groceries,Refund,High,"""I recently purchased groceries from your platform under the account [Your Account]. The item I received was damaged, and I wish to request a full refund. I have attached a photo of the damaged product for your review.""",1
T00012,C1955,2025-12-03 19:28:49,207,2,25.05,Electronics,Refund,High,"Subject: Urgent refund request for Electronics item Hello, I recently purchased an Electronics item from your store but it arrived damaged. I am extremely frustrated and would like to request an immediate refund. Can you please help me resolve this issue as soon as possible? I recently purchased a laptop from your store but it arrived damaged. I am extremely frustrated and would like to request an immediate refund. Can you please help me resolve this issue as soon as",1
T00013,C5460,2025-11-20 01:36:24,908,1,30.99,Home,Product,High,"Subject: Urgent Product Issue: Home Item Defect Hello, I recently purchased a Home item from your platform, but upon receiving it, I found it to be defective. The item does not function as advertised and I am extremely disappointed with the product quality. This is a critical issue as I was expecting a fully functional item and I am unable to use it in my home. Please let me know how I can proceed with resolving this issue. I",1
T00014,C4082,2025-10-08 20:00:52,262,3,46.58,Home,Other,Medium,I'm having trouble with a Home item that I purchased recently. The item arrived damaged and I would like to request a replacement.,0
T00015,C8100,2025-12-11 04:25:58,915,0,6.43,Electronics,Payment,Low,"Hi there, I'm having a bit of trouble making a payment for an Electronics item on your platform. I've tried entering my payment details but it keeps giving me an error message. Can you please help me resolve this issue? Thanks!",0
T00016,C7335,2025-12-23 15:56:19,428,0,28.64,Beauty,Delivery,Medium,"Hello, I recently purchased a beauty item from your platform and I'm having an issue with the delivery. The tracking information provided shows that the package has been delivered to my address, but I haven't received it yet. Could you please help me resolve this issue? Please provide me with an estimated delivery time for the package, and if necessary, let me know if any further action is required on my end. Thank you for your assistance.",0
T00017,C1175,2025-11-23 17:18:00,1524,3,31.89,Groceries,Delivery,High,"Subject: Urgent: Groceries Delivery Issue Dear Support Team, I'm writing to report a major issue with my groceries delivery. The item I ordered has not arrived yet, despite the estimated delivery time having passed. I'm extremely frustrated and concerned about this delay, as I urgently need the groceries for my household. Could you please look into this matter and provide me with a prompt resolution? Thank you.",1
T00018,C8081,2025-10-27 09:52:59,111,2,6.76,Electronics,Payment,High,"I have recently purchased an Electronics item, and I have been trying to complete the payment for my order, but I am facing an issue. I have tried using various payment methods, but I am unable to complete the payment. I have been trying to reach customer support for the past two hours, but there is no response. I urge you to please look into this issue immediately and assist me in resolving it. I hope this helps you in creating a realistic support ticket",1
T00019,C3699,2025-10-24 00:05:38,1852,1,29.18,Clothing,Product,Medium,"Subject: ""Clothing item issue - size not fitting properly"" Body: Hello, I recently purchased a clothing item on your platform but it doesn't fit me as expected. I've tried several sizes, but none of them seem to fit correctly. I would appreciate it if you could assist me in finding a suitable size or provide a refund if that's not possible. Thank you.",0
T00020,C4762,2025-12-21 14:18:43,980,1,24.39,Electronics,Refund,High,"Subject: Urgent refund for Electronics item Dear Support Team, I recently purchased an Electronics item from your platform and it arrived damaged. I'm extremely frustrated and would like to request a full refund immediately. I have attached a photo of the damaged item to this ticket for your reference. Thank you for your prompt attention to this matter. I'm looking forward to hearing back from you soon.",1
T00021,C2449,2025-11-24 21:29:07,1156,1,17.25,Home,Delivery,Low,"Title: Delivery Issue with Home Item Dear Support Team, I recently purchased a home item from your platform, and I have been experiencing some delivery issues. The item was supposed to arrive on [Date], but it has not yet been delivered. I have checked my tracking information, and it shows that the package is still en route to my location. Could you please look into this matter and provide me with an update on when I can expect my item to arrive?",0
T00022,C3560,2025-10-19 12:11:21,72,2,27.49,Clothing,Payment,Low,"I am having an issue with my payment for a clothing item purchased on your website. The payment was processed but it did not go through, and I've tried to make the payment again, but it also failed. Can you please assist me in resolving this matter?",0
T00023,C2069,2025-11-05 06:01:22,584,3,44.14,Home,Delivery,High,"Subject: Urgent Delivery Issue with Home Item Message: I'm writing to report a serious problem with my recent home item purchase. I've been trying to contact customer support for days now, but I haven't received any response. The item hasn't arrived yet, and I need it urgently. Please help me resolve this issue as soon as possible. Thank you.",1
T00024,C2271,2025-12-13 13:03:46,1123,3,45.83,Electronics,Refund,High,Subject: Urgent Electronics Item Refund I purchased a Sony WH-1000XM4 Wireless Noise-Cancelling Headphones on [Date] and noticed upon receiving the product that it was not functioning as advertised. I have tried to contact customer support several times but have yet to receive a resolution. I would greatly appreciate any assistance in resolving this matter as soon as possible.,1
T00025,C9148,2025-11-09 06:45:31,534,2,22.01,Groceries,Payment,High,"Subject: Urgent Payment Issue for Groceries Item Dear Support Team, I am writing to urgently report an issue with my recent payment for a groceries item on your platform. I made the payment using my credit card, but the transaction was declined and the item hasn't been shipped yet. I have already checked my credit card statement and it shows that the payment was successfully processed. Could you please look into this matter and resolve it as soon as",1
T00026,C1818,2025-12-21 07:05:05,1504,3,37.51,Electronics,Other,Medium,"Hello, I'm having trouble with my Electronics purchase. When I tried to use the item, it didn't work as expected. It seems there might be a problem with the battery, as it doesn't seem to charge properly. Can you help me resolve this issue?",0
T00027,C8975,2025-11-28 17:48:20,216,1,45.09,Electronics,Refund,Medium,"""I recently purchased an Electronics item from your platform, but I received a damaged product. I would like to request a refund for this item.""",0
T00028,C1608,2026-01-01 04:18:34,1667,1,29.57,Groceries,Delivery,High,"""My Groceries delivery has been delayed despite confirming the delivery date twice. I'm extremely frustrated and need my items ASAP as they are essential for me to survive. Can you please look into this issue and provide me with a resolution immediately?""",1
T00029,C3524,2025-12-29 23:03:26,641,3,2.64,Beauty,Product,Low,"Subject: Product issue with Beauty item purchased Dear Support Team, I hope this message finds you well. I recently purchased a Beauty item from your platform and I'm experiencing some issues with it. Could you please assist me in resolving this matter? Best regards, Nur",0
T00030,C1161,2025-12-08 19:27:58,1364,0,25.29,Clothing,Delivery,High,"""I have a major issue with my recent order of a clothing item on [platform name]. My item was supposed to arrive on [expected delivery date], but it has not yet been delivered, despite repeated attempts to contact customer support. As a result, I am extremely frustrated and concerned about the status of my order. Please help me resolve this urgent issue as soon as possible.""",1
T00031,C4752,2025-10-27 09:59:59,423,3,7.69,Electronics,Refund,Medium,"Subject: Electronics Refund Request Dear Support, I recently purchased an Electronics item from your platform. Upon receiving the product, I found it to be faulty and would like to request a refund. I have attached a photo of the product for your review. Could you please let me know the next steps to proceed with the refund process? Thank you.",0
T00032,C9757,2025-12-26 20:48:10,622,1,45.96,Beauty,Product,Medium,"Hello, I recently purchased a Beauty product from your platform. However, upon receiving the item, I noticed that the product arrived damaged. I was wondering if it would be possible to either replace the item or issue me a refund. Thank you for your assistance. Hi there, thank you for contacting our customer support team. I apologize for the inconvenience you have experienced with your recent purchase. I would be happy to assist you in resolving this issue. Could",0
T00033,C5491,2025-10-08 20:50:47,78,2,8.46,Home,Delivery,High,"I am writing to report a serious delivery issue for my home item. The delivery was scheduled for yesterday, but I have not received my item yet. I am extremely frustrated as I need this item urgently. Please help me resolve this issue as soon as possible.",1
T00034,C2493,2026-01-02 18:12:56,1204,2,38.1,Electronics,Product,Medium,"As a customer who recently purchased an Electronics item from your platform, I am writing to report a product issue. The item in question is not functioning as expected and I am hoping for some assistance in resolving this matter.",0
T00035,C3591,2025-11-05 08:59:00,1663,2,29.88,Groceries,Refund,High,"--- Subject: Urgent Refund Request for Groceries Item Hi there, I recently made a purchase for groceries on your platform, and unfortunately the product I received was damaged upon delivery. As a loyal customer, I would greatly appreciate it if you could process a refund for this item as soon as possible, so I can replace it with a new one. Thank you for your attention to this matter.",1
T00036,C3608,2025-10-27 21:30:55,842,1,31.99,Electronics,Payment,Medium,"Subject: Payment issue for Electronics item Dear [Support Team], I am writing to report an issue I am having with my recent payment for an Electronics item. I made the payment on [Date] using my credit card, but the transaction was declined. I have checked my card balance and it has enough funds to cover the purchase. Could you please look into this matter and let me know what steps I need to take to resolve this issue? Thank",0
T00037,C5778,2025-12-10 04:22:30,518,0,36.32,Clothing,Delivery,Medium,"Hi there, I recently purchased a Clothing item from your store and I'm having an issue with the delivery. The item was supposed to arrive on [Date], but it hasn't been delivered yet. I've checked my tracking number, but it seems to be delayed. Can you please help me resolve this issue?",0
T00038,C8933,2025-10-09 16:32:18,161,1,39.93,Home,Product,Medium,"""I purchased a Home item from your website a few days ago, but I have noticed that one of the components of the product has arrived damaged. I was wondering if you could provide a solution for this issue, such as replacement or refund. Thank you for your help.""",0
T00039,C9236,2025-10-12 11:26:55,1844,1,9.07,Groceries,Other,High,"I have been trying to place an order for groceries and I have noticed that the ""Add to Cart"" button is not working for me. I am getting a pop-up that says ""An error occurred while processing your request. Please try again later."" I am extremely frustrated with this and need to urgently place an order. Can someone please help me with this issue as soon as possible?",1
T00040,C7380,2025-11-16 01:48:27,139,1,29.19,Beauty,Delivery,High,"Subject: Urgent Delivery Issue for Beauty Item ""I recently placed an order for a beauty item and was assured that it would be delivered within 3 business days. However, it has been over a week and the item has still not arrived. This is a major inconvenience and I am extremely frustrated with the delay.""",1
T00041,C8453,2025-10-23 14:04:58,656,3,10.35,Home,Other,Medium,"Hello there! I'm having an issue with a home item I purchased recently. The item arrived damaged, with some pieces missing. I'd like to request a replacement or a refund. Please let me know what options are available to me. Thank you!",0
T00042,C6782,2025-12-14 07:30:12,1155,1,19.19,Groceries,Payment,High,"""I recently made a purchase for groceries through your platform and the payment was successful. However, I noticed the money was debited from my account, but the groceries item was not delivered. I am extremely frustrated and need this issue resolved ASAP.""",1
T00043,C1839,2025-10-14 23:20:20,1671,0,44.54,Groceries,Other,Medium,"Hello, I recently purchased a groceries item on your platform and I am encountering an issue with it. I would like to request your help in resolving this matter as soon as possible.",0
T00044,C8205,2025-10-20 14:20:33,1808,5,26.66,Groceries,Payment,High,"""Hi there, I'm experiencing issues making a payment for my groceries order. It keeps declining and I'm not sure what's going on. Can someone please help me ASAP?"" ""I recently attempted to pay for my groceries order, but my payment was declined. I'm extremely frustrated and was wondering if there is any issue with the platform or my account that needs to be resolved. Can someone please help me ASAP?""",1
T00045,C8502,2025-10-08 06:01:07,941,1,14.26,Groceries,Other,Low,"--- Title: Other issue with Groceries item Description: I recently placed an order for groceries, which included a carton of eggs. When I received my package, I noticed that some of the eggs were cracked and the carton was not properly sealed. I would like to request a replacement or a refund for the damaged eggs. --- I hope this helps!",0
T00046,C2485,2025-11-25 12:46:49,851,1,18.85,Home,Delivery,High,"""I ordered a home item from your website but it hasn't arrived yet. I was expecting it to arrive by Friday, but I haven't received any update on its delivery status. This is causing me a lot of frustration as I need the item urgently. Please help me resolve this issue as soon as possible.""",1
T00047,C2646,2025-11-25 05:03:40,1380,3,17.1,Clothing,Product,High,"Ticket: ""I purchased a black sweater from your website last week, and it arrived damaged with a large tear in the shoulder area. I'm really disappointed as it's my favorite piece of clothing and it's unusable now. Can you please help me resolve this issue?""",1
T00048,C5402,2025-10-09 12:09:35,1315,2,15.26,Electronics,Payment,Low,I am experiencing an issue with my payment for an Electronics item I recently purchased. The payment went through successfully but I have not received my order confirmation or tracking number. Could you please look into this and provide me with an update on the status of my order?,0
T00049,C6376,2025-12-30 18:46:01,1398,1,30.26,Beauty,Other,Medium,"""Hi there, I purchased a beauty item from your platform, but I received a damaged product. I would really appreciate it if you could either send me a replacement or provide me with a refund. Thank you for your help!""",0
T00050,C6226,2025-11-09 16:05:46,196,1,46.11,Beauty,Other,High,"Subject: Urgent Beauty Product Issue Dear Customer Support, I have recently purchased a Beauty product from your platform and am experiencing an issue with it. The product arrived damaged and I would like to request a replacement or refund immediately. This has left me extremely disappointed with your service and I hope this issue can be resolved promptly.",1
T00051,C5006,2025-11-27 18:48:39,1571,2,29.14,Beauty,Refund,Low,"""Dear Support Team, I am reaching out because I recently purchased a beauty item on your platform and I am not satisfied with the product. I would like to request a refund, please let me know the steps I need to take to proceed with this request.""",0
T00052,C2509,2025-11-17 22:55:55,367,3,37.14,Clothing,Delivery,High,"Subject: Delivery Issue with Clothing Order ""Hello, my clothing item has not arrived yet despite placing the order two weeks ago. Can you please look into this matter and give me an update on when I can expect my package?"" Please provide a brief description of the issue you are experiencing, including any relevant details such as the date you placed the order and the type of clothing item you ordered. Additionally, please let us know if you have contacted the seller or their",1
T00053,C3121,2025-11-17 21:24:05,1211,1,7.39,Groceries,Other,Medium,"Subject: Groceries - Incorrect Item Delivered Dear Support Team, I recently placed an order for groceries, and upon receiving the package, I found that an item was delivered incorrectly. Specifically, I ordered a carton of eggs, but received a carton of apples instead. Could you please look into this matter and let me know how I can proceed with resolving this issue? Thank you for your assistance.",0
T00054,C7558,2025-11-20 21:30:02,854,4,14.44,Electronics,Delivery,High,"""I received my package today but the item inside was damaged, it was an Electronics item and now it doesn't turn on. I'm extremely frustrated and need this resolved ASAP.""",1
T00055,C3816,2025-11-17 13:26:03,340,0,45.06,Clothing,Product,Low,"Subject: Clothing Product Issue Hello, I recently purchased a clothing item from your platform, but it arrived with a defect. The fabric seems to be of low quality, and the stitching is coming undone easily. I would like to request a replacement or a refund for this product. Thank you for your attention to this matter.",0
T00056,C2151,2025-10-28 19:35:26,1467,3,19.31,Clothing,Payment,Medium,"I'm sorry, but I am unable to complete the payment for a clothing item that I purchased on your website. The payment failed for some reason, and I'm wondering if there is anything I need to do differently or if there is an issue with the website. Thank you for your help.",0
T00057,C8616,2026-01-03 03:40:27,1903,0,41.12,Home,Refund,Medium,"Your home item order was canceled and you would like to request a refund. Your home item order has been canceled, and you would like to request a full refund to your original payment method.",0
T00058,C5303,2025-12-22 18:50:42,1188,1,22.9,Electronics,Delivery,Low,"Subject: Delivery issue for Electronics item Hello, I recently purchased an electronics item from your website. Unfortunately, the delivery has been delayed and I have not received the product yet. Could you please provide me with an update on the delivery status and if there is anything I need to do? Thank you.",0
T00059,C9713,2025-11-25 20:51:41,933,1,44.25,Beauty,Payment,Low,--- Hi there! I hope this message finds you well. I'm having a bit of trouble making a payment for a Beauty item on your platform. It seems like the payment method I'm using isn't working properly. Could you please assist me in resolving this issue so I can complete my purchase? Thank you very much!,0
T00060,C4517,2025-11-15 04:01:34,1994,1,40.5,Clothing,Refund,Low,"Hi, I'm reaching out in regards to the clothing item I purchased recently. I've noticed that there were some manufacturing defects on the item, and I would like to request a refund. Thank you for your assistance in this matter.",0
T00061,C1215,2025-11-05 08:56:59,1341,1,43.26,Home,Refund,High,"I need to request a refund for an item I purchased for my home. I recently received the item and realized it is not what I ordered. I would like to request a full refund, please.",1
T00062,C5079,2025-12-12 15:07:19,311,3,3.66,Clothing,Refund,High,"""I recently purchased a clothing item from your website, but it does not fit properly. I would like to request a full refund. The item is still in its original packaging and has not been worn.""",1
T00063,C8379,2025-12-20 15:30:37,1223,3,38.84,Clothing,Refund,High,"You recently purchased a clothing item on our e-commerce platform, however, upon receiving the item, you realized it did not fit properly and you would like to request a refund. The item is still in its original packaging and has not been used or damaged in any way. Hello, I am writing to request a refund for a clothing item that I recently purchased on your e-commerce platform. The item arrived in perfect condition and I was excited to try it on,",1
T00064,C8614,2025-12-24 08:35:02,1405,1,11.28,Clothing,Product,Medium,"--- Subject: Issue with Clothing Item Dear Support Team, I recently purchased a Clothing item from your store and I'm having an issue with it. The item arrived damaged and I was unable to find any information on how to repair it. Can you please provide me with some assistance?",0
T00065,C5858,2025-11-01 22:28:25,1498,2,35.79,Groceries,Payment,High,"""I'm having trouble completing a payment for groceries on your website. I entered my payment information and clicked the 'Place Order' button, but the payment failed. I checked my bank statement and the transaction was declined. Can someone please help me resolve this issue so I can complete my order?""",1
T00066,C1899,2026-01-02 05:48:31,1428,2,30.35,Electronics,Other,High,"Title: Urgent issue with Electronics item Subject: Not working as expected Body: I have recently purchased an electronics item from your platform. Unfortunately, upon receiving the product, I found that it is not working as expected. I am extremely frustrated and would like to request immediate assistance to resolve this issue. Can you please provide me with a prompt response so that I can get back to using your product as soon as possible? Thank you for your attention to this matter",1
T00067,C5129,2025-12-15 06:22:28,1427,1,10.44,Clothing,Other,High,"I recently purchased a clothing item from your website, but it arrived damaged. I tried to reach out to your customer support team via phone and email, but I never got a response. I am extremely frustrated as I cannot return the item and I have to pay for shipping to send it back.",1
T00068,C5886,2025-11-11 12:04:12,1574,1,8.68,Groceries,Refund,Medium,"""I recently made a purchase for groceries on your platform, but I realized that one of the items in my cart was accidentally placed in my cart instead of being included in my order. I would like to request a refund for that particular item. Can you please assist me with this issue?""",0
T00069,C4764,2025-11-16 04:23:29,1168,3,25.38,Groceries,Payment,Low,"Subject: Payment issue for Groceries item Dear Support Team, I recently attempted to purchase groceries on your platform, but I encountered an issue with my payment method. When I tried to confirm the order, I received an error message stating that my payment information was not valid. I have double-checked my information and it appears to be correct, so I am not sure what might be causing the issue. Can you please assist me in resolving this matter",0
T00070,C2163,2025-10-13 02:37:23,264,0,14.79,Groceries,Product,Low,"I'm having an issue with the [product name]. I tried to place an order for it, but I noticed that the [specific product issue] was missing from the cart when I tried to check out. I would appreciate some assistance in resolving this matter.",0
T00071,C8069,2025-11-08 18:21:55,1233,2,12.01,Clothing,Delivery,High,"--- I'm having a major issue with my recent purchase from your store. I ordered a clothing item which was supposed to be delivered on [Date], but it hasn't arrived yet. This is causing me significant inconvenience as I had planned to wear it for an important event this weekend. Could you please look into the matter and provide me with a resolution?",1
T00072,C9283,2025-11-10 00:25:51,101,1,12.38,Clothing,Refund,Medium,"I recently purchased a clothing item on your platform, but unfortunately it doesn't fit me properly. I would like to request a refund for the item. Could you please guide me through the process and let me know how long it may take for the refund to be processed? I purchased a sweater from your platform last week, but it's not the right size. I'm looking to request a refund for the item. Could you please let me know what the next",0
T00073,C6306,2025-12-03 03:21:49,1412,2,38.22,Groceries,Product,Medium,"--- Subject: Groceries item not delivered as expected Dear Support Team, I recently placed an order for groceries on your platform and was expecting to receive the products by a certain date. However, when I checked my delivery status, I found that the items were not delivered as expected. I kindly request your assistance in resolving this issue and ensuring that I receive the correct products at the earliest convenience. Thank you for your help,",0
T00074,C5766,2025-12-16 20:05:42,1263,0,25.59,Groceries,Refund,Medium,I am writing to request a refund for a groceries item purchased on your platform recently. The item in question is a carton of eggs and I noticed that some of the eggs were cracked upon receiving the package. I would like to request a full refund for this item as it does not meet the standards of quality that I expect from your platform. Thank you for your help in resolving this matter.,0
T00075,C2154,2025-11-14 07:44:14,1844,1,38.79,Home,Refund,Medium,"Subject: Refund Request for Home Item Dear Support Team, I am writing in regards to the recent purchase I made of a Home item on your platform. Upon receiving the product, I discovered that it did not meet the standards as it was advertised, and I would like to request a full refund. I appreciate your prompt attention to this matter. Best regards, Ravi",0
T00076,C4454,2025-11-17 19:29:53,1003,0,5.31,Beauty,Delivery,High,"Subject: Urgent Delivery Issue - Beauty Item --- I recently purchased a beauty item from your e-commerce platform, and I was promised a delivery date of 2 weeks ago. However, the item has not arrived yet, and I'm extremely frustrated. I've tried contacting customer service multiple times, but no one has been able to provide me with any updates on my order. Can you please help me resolve this urgent delivery issue?",1
T00077,C1698,2025-10-22 09:03:26,582,0,9.96,Home,Refund,Medium,"Subject: Home item refund issue Message: Hi there, I purchased a Home item on your website and it arrived damaged. I would like to request a refund, please let me know the next steps to take. Thank you.",0
T00078,C9124,2025-12-29 14:52:12,58,3,29.64,Groceries,Product,High,"I recently purchased a bag of groceries and when I opened it, I found that the product was damaged and not edible. This is extremely frustrating as I rely on this platform for my weekly groceries. I would like to request a replacement or a refund as soon as possible.",1
T00079,C5515,2025-11-19 07:54:50,1918,4,19.84,Beauty,Delivery,High,"Subject: Urgent - Beauty Item Delivery Issue Dear Support Team, I am writing to report a critical issue with my recent order of a Beauty item on your platform. Despite confirming delivery on [Date], I have not received my package yet, and it has been over [number of days] since the estimated delivery date. This is extremely frustrating, as I was really looking forward to using the product. Could you please look into this matter and provide me with",1
T00080,C7073,2025-12-04 14:50:47,441,1,9.63,Home,Payment,Low,"""I'm having trouble paying for a Home item on your platform. I've entered my payment information and tried to confirm the order, but I'm getting an error message saying that my card details are incorrect. Can you please help me resolve this issue so I can complete my purchase?""",0
T00081,C9621,2025-10-13 15:05:43,1125,2,22.62,Electronics,Delivery,Medium,"Subject: Electronics Item Delivery Issue Hello, I recently purchased an Electronics item on your platform, and I am experiencing an issue with the delivery. The item has not yet arrived, and I was wondering if there is any information on when it might be delivered. I would greatly appreciate it if you could look into this matter and provide me with an estimated delivery date. Thank you for your help.",0
T00082,C8518,2025-12-04 20:47:16,1518,1,8.93,Home,Other,Medium,"Hey there! I have encountered an issue with one of my home items, specifically the [product name]. The product seems to be missing some of the pieces that were listed in the initial description. I'm wondering if there's anything I can do to resolve this matter. Thank you! Best regards, Lina",0
T00083,C9465,2025-12-12 22:51:46,117,1,24.55,Electronics,Product,High,I received a faulty Electronics item which I ordered on [date] from your website. The item does not work as advertised and I have tried to contact your support team multiple times but they have not responded. I am very disappointed with your product and I am looking for a quick resolution. Please let me know what I can do to get my issue resolved.,1
T00084,C1125,2025-10-30 12:37:40,195,0,40.81,Electronics,Product,Medium,"Title: Electronics Product Issue Description: Hi, I recently purchased an electronics item from your website. Upon receiving it, I noticed that one of the components was missing from the product. I would like to request a replacement or a refund for this issue. Thank you.",0
T00085,C4660,2025-11-13 21:49:54,1350,1,18.86,Groceries,Refund,Medium,"""Hi there, I recently purchased groceries on your platform and I'm having trouble getting a refund for one of the items. Can you please help me figure out how to get this resolved?""",0
T00086,C9381,2025-10-16 16:16:59,1693,2,25.22,Electronics,Other,Medium,"""Hi there, I recently purchased an Electronics item from your store. However, upon receiving the product, I noticed that one of the features was not working as expected. I would greatly appreciate your assistance in resolving this issue. Thank you in advance for your help.""",0
T00087,C2081,2025-12-07 11:06:41,1705,0,24.95,Clothing,Product,Low,"Hello, I recently purchased a Clothing item from your platform, and I received a product with a defect. Could you please help me resolve this issue? Thank you. Subject: Defective Clothing item - Product issue Hello there, Thank you for contacting our support team. I apologize for the inconvenience caused by the defective Clothing item you received. Please provide me with the following information so we can assist you better:",0
T00088,C1197,2025-11-18 00:59:25,815,2,17.59,Beauty,Delivery,Medium,"Hi there, I hope this message finds you well. I'm writing to report an issue with my recent delivery from [platform name]. The item I ordered, a Beauty product, has not arrived yet. I've been waiting for [number of days] and have not received any updates on the status of my order. Could you please help me resolve this issue? Thank you.",0
T00089,C6471,2025-12-11 10:38:44,1857,2,2.34,Home,Product,High,Subject: Urgent help needed for a faulty Home item. Message: I recently purchased a Home item from your website and it arrived with major defects. I was hoping to get some assistance in resolving this issue as soon as possible. Could you please let me know how to proceed with the return or replacement process? Thank you.,1
T00090,C5731,2025-12-19 00:24:17,1278,7,41.87,Clothing,Other,High,"--- Subject: Urgent assistance needed for a clothing item Dear support team, I'm writing to request immediate assistance for a clothing item that I recently purchased. Upon receiving the item, I noticed that it was damaged and did not meet the standards as advertised. I'm extremely disappointed and frustrated with this situation, as I've been waiting for weeks to receive this item and it's now unusable. Please let me know what can be done",1
T00091,C8282,2025-11-18 20:57:10,896,4,35.75,Home,Refund,High,"Subject: Urgent: Home Item Refund Issue Dear Support, I recently purchased a home item from your platform but it arrived damaged. I have tried to contact customer support multiple times but have not received a resolution. Can you please assist me in getting a refund for this item as soon as possible? I am extremely frustrated with the lack of response and the delay in resolving this issue. I have been waiting for a refund for over a week now and have",1
T00092,C1042,2025-11-07 16:21:05,274,0,37.76,Beauty,Refund,Medium,"Subject: Beauty product refund Dear [Support Team], I recently purchased a Beauty item from your platform but I'm not satisfied with the product. I would like to request a full refund. Please provide me with the necessary information to proceed with the refund. Thank you.",0
T00093,C8737,2025-10-17 17:21:41,945,2,5.9,Beauty,Delivery,Medium,"Subject: Delivery issue for Beauty item Dear support team, I have encountered an issue with the delivery of my Beauty item. I was expecting my package to arrive on [expected delivery date], but it has not yet been delivered. Could you please look into this matter and provide me with an update on the status of my delivery? Thank you.",0
T00094,C3394,2025-11-15 19:22:36,1851,1,19.14,Clothing,Payment,Low,"""Hi there, I recently made a purchase of a clothing item on your website. Unfortunately, the payment method I used did not go through, and I am unable to complete the transaction. Can you please help me resolve this issue so I can complete my purchase?""",0
