ticket_id,ticket_date,customer_id,customer_tier,num_prev_tickets,avg_response_time_prev,issue_type,ticket_text,priority,sentiment_score,urgent_flag,activity_level
T000014,26/10/2025 9:09,C60606,Silver,4.0,20.0,Login,I forgot my password and the reset email is not coming through.,High,-0.9995585083961487,0,Medium
T000015,26/10/2025 16:53,C70707,Gold,7.0,23.0,Delivery,This is the third time my order has been delayed. This is very frustrating.,High,-0.9995177984237671,0,Medium
T000016,27/10/2025 1:44,C80808,Platinum,9.0,42.0,Order,My order status has not updated in days. Can you help?,Medium,-0.9985328912734985,0,High
T000017,27/10/2025 11:02,C90909,Classic,1.0,23.0,Account,I need to change my registered email address.,Low,-0.9995511174201965,0,Medium
T000018,27/10/2025 18:56,C11111,Silver,5.0,28.0,Refund,"I want a refund for the product I received, it is not working at all.",High,-0.9997819066047668,0,Medium
T000019,28/10/2025 3:08,C22222,Gold,6.0,30.0,Login,"I am having trouble logging in, can you assist?",Medium,-0.9987431168556213,0,Medium
T000020,28/10/2025 13:23,C33333,Platinum,7.0,36.0,Payment,My payment failed and I need to complete my order immediately.,High,-0.9994887113571167,0,High
T000021,28/10/2025 20:25,C44444,Classic,2.0,10.0,Delivery,Can you please tell me when my delivery is expected?,Medium,-0.9740028381347656,0,Low
T000022,29/10/2025 5:16,C55555,Silver,4.0,23.0,Product,I have a question about the warranty for this product.,Low,-0.9945971965789795,0,Medium
T000023,29/10/2025 14:38,C66666,Gold,8.0,37.0,Refund,"I need to return an item, but I lost the original packaging. Help needed urgently.",High,-0.9997101426124573,0,High
T000024,29/10/2025 23:38,C77777,Platinum,9.0,44.0,Account,I need to update my billing information.,Medium,-0.9995707869529724,0,High
T000025,30/10/2025 6:41,C88888,Classic,0.0,3.0,Order,Just checking to see if my order has shipped yet.,Low,-0.9926620721817017,0,Low
T000026,30/10/2025 16:33,C99999,Silver,3.0,19.0,Login,"My account has been locked, please unlock it now.",High,-0.9348216652870178,0,Medium
T000027,31/10/2025 1:41,C12121,Gold,7.0,31.0,Payment,I was overcharged for my last order.,Medium,-0.999049961566925,0,Medium
T000028,31/10/2025 10:19,C23232,Platinum,10.0,46.0,Delivery,"This delivery is extremely late, and I need my item today!",High,-0.9975109100341797,1,High
T000029,31/10/2025 17:27,C34343,Classic,1.0,7.0,Product,"I received the wrong product, can you help me exchange it?",Medium,-0.9997268319129944,0,Low
T000030,1/11/2025 2:35,C45454,Silver,5.0,23.0,Refund,I'd like to inquire about the refund process for my order.,Low,0.6695800423622131,0,Medium
T000031,1/11/2025 10:49,C56565,Gold,6.0,33.0,Account,"My phone number is no longer valid, I need to update it urgently.",High,-0.9995341300964355,0,High
T000032,1/11/2025 19:37,C67676,Platinum,8.0,39.0,Login,"I am having issues resetting my password, please advise.",Medium,-0.9967201352119446,0,High
T000033,2/11/2025 4:38,C78787,Classic,2.0,11.0,Delivery,When will my order be delivered?,Low,-0.998190701007843,0,Low
T000034,2/11/2025 12:24,C89898,Silver,4.0,21.0,Payment,Is there a way to change my payment method for a pending order?,Medium,-0.999690055847168,0,Medium
T000035,2/11/2025 22:14,C90909,Gold,7.0,34.0,Product,The product I received is defective and I need it replaced ASAP.,High,-0.9997778534889221,1,High
T000036,3/11/2025 6:32,C10101,Platinum,9.0,41.0,Refund,I need an immediate refund for this faulty item. It's unusable.,High,-0.9997649788856506,1,High
T000037,3/11/2025 14:37,C11211,Classic,0.0,4.0,Other,"I noticed a typo on the website, just letting you know.",Low,0.9926041960716248,0,Low
T000038,3/11/2025 23:40,C22322,Silver,3.0,17.0,Login,I'm unable to access my account. Can you help?,Medium,-0.9997344613075256,0,Medium
T000039,4/11/2025 7:50,C33433,Gold,8.0,36.0,Delivery,My delivery is taking far too long. I need this resolved now.,High,-0.9995532631874084,0,High
T000040,4/11/2025 17:02,C44544,Platinum,10.0,47.0,Account,My account seems to have been compromised. Please secure it immediately.,High,-0.9967775940895081,0,High
T000041,5/11/2025 1:25,C55655,Classic,1.0,9.0,Payment,Can you confirm the price of this item?,Low,-0.9779462814331055,0,Low
T000042,5/11/2025 11:23,C66766,Silver,4.0,24.0,Refund,I am requesting a refund for an order that was cancelled.,Medium,-0.9989939332008362,0,Medium
T000043,5/11/2025 19:39,C77877,Gold,7.0,35.0,Login,I'm consistently being logged out of my account. This is very frustrating.,High,-0.9991034865379333,0,High
T000044,6/11/2025 4:10,C88988,Platinum,9.0,43.0,Product,The color of the product is different than advertised.,Medium,0.9922192096710205,0,High
T000045,6/11/2025 13:14,C90000,Classic,2.0,13.0,Order,I want to change the quantity of items in my order.,Medium,-0.9994269609451294,0,Low
T000046,6/11/2025 21:34,C10111,Silver,5.0,27.0,Delivery,"My package is lost, and I need a replacement urgently.",High,-0.9995773434638977,1,Medium
T000047,7/11/2025 6:28,C11222,Gold,6.0,32.0,Payment,I was charged for an item that was out of stock. Fix this immediately.,High,-0.9993081092834473,0,High
T000048,7/11/2025 14:45,C12333,Platinum,8.0,40.0,Refund,I need to initiate a return for a product that doesn't fit.,Medium,-0.999799907207489,0,High
T000049,7/11/2025 22:41,C13444,Classic,0.0,5.0,Account,Could you please guide me on how to set up my profile?,Low,0.971031129360199,0,Low
T000050,8/11/2025 7:52,C14555,Silver,3.0,16.0,Product,The item is not working as described. I need it fixed or replaced today.,High,-0.9997562766075134,0,Medium
T000051,8/11/2025 16:29,C15666,Gold,7.0,30.0,Login,I seem to be having recurring login issues.,Medium,-0.9990134239196777,0,Medium
T000052,9/11/2025 1:27,C16777,Platinum,9.0,23.0,Order,My order was confirmed but I haven't received any shipping updates. This is urgent.,High,0.612352192401886,1,Medium
T000053,9/11/2025 9:59,C12345,Classic,1.0,5.5,Login,"I cannot login to my account, I have tried resetting my password multiple times.",High,-0.9943197965621948,0,Low
T000054,9/11/2025 17:17,C67890,Silver,3.0,12.0,Payment,My credit card was charged twice for order #789012.,Medium,-0.9938098788261414,0,Low
T000055,10/11/2025 2:30,C11223,Gold,7.0,28.5,Delivery,"My package for order #345678 is still not here, it was supposed to arrive yesterday.",High,-0.9991456270217896,0,Medium
T000056,10/11/2025 11:13,C44556,Platinum,10.0,40.0,Refund,"I need an urgent refund for item #987654, it arrived broken.",High,-0.9992388486862183,1,High
T000057,10/11/2025 20:44,C77889,Classic,0.0,1.0,Product,Just wondering about the warranty on the new XYZ gadget.,Low,-0.9869065284729004,0,Low
T000058,11/11/2025 4:15,C99001,Silver,2.0,8.0,Order,Can you help me change the shipping address for order #112233?,Medium,-0.9992788434028625,0,Low
T000059,11/11/2025 14:01,C12121,Gold,6.0,22.0,Account,I need to update my phone number on my account.,Medium,-0.9994373917579651,0,Medium
T000060,11/11/2025 22:14,C34343,Platinum,9.0,35.0,Login,"My account is locked, and I need access immediately. This is very frustrating.",High,-0.9992127418518066,0,High
T000061,12/11/2025 5:39,C56565,Classic,4.0,18.0,Delivery,My delivery for order #556677 seems to be delayed.,Medium,-0.9997088313102722,0,Medium
T000062,12/11/2025 14:59,C78787,Silver,1.0,3.0,Payment,I have a question about a pending charge on my statement.,Low,-0.9887402653694153,0,Low
T000063,12/11/2025 23:48,C90909,Gold,8.0,31.0,Product,The product I received is not working at all. I need this fixed today.,High,-0.9996438026428223,0,Medium
T000064,13/11/2025 8:11,C11111,Platinum,5.0,25.0,Order,Could you assist me with cancelling order #998877?,Medium,-0.9993124008178711,0,Medium
T000065,13/11/2025 16:30,C22222,Classic,3.0,10.0,Refund,I would like to request a refund for item #445566.,Medium,-0.9981428384780884,0,Low
T000066,14/11/2025 1:17,C33333,Silver,5.0,15.0,Login,I am unable to log into my account. Please help.,High,0.9841706156730652,0,Medium
T000067,14/11/2025 11:01,C44444,Gold,7.0,29.0,Payment,There's an unauthorized charge on my account. This needs to be resolved ASAP.,High,-0.9996635913848877,1,Medium
T000068,14/11/2025 20:03,C55555,Platinum,12.0,45.0,Delivery,My delivery for order #667788 is late again. This is unacceptable.,High,-0.9998037219047546,0,High
T000069,15/11/2025 4:07,C66666,Classic,2.0,7.0,Account,I just want to check if my address change has been processed.,Low,-0.9987323880195618,0,Low
T000070,15/11/2025 12:51,C77777,Silver,4.0,14.0,Product,I received the wrong product in my order. What can be done?,Medium,-0.9997598528862,0,Low
T000071,15/11/2025 21:36,C88888,Gold,9.0,33.0,Refund,I am very frustrated with this refund. It's taking too long.,High,-0.9997957348823547,0,High
T000072,16/11/2025 4:47,C99999,Platinum,6.0,27.0,Login,My account is locked again. I need access immediately.,High,-0.9957745671272278,0,Medium
T000073,16/11/2025 13:33,C10101,Classic,0.0,1.5,Other,I have a question about your loyalty program.,Low,-0.9242335557937622,0,Low
T000074,16/11/2025 23:19,C20202,Silver,3.0,9.0,Delivery,"My order #123456 is showing as delivered, but I haven't received it.",Medium,-0.9993626475334167,0,Low
T000075,17/11/2025 7:17,C30303,Gold,7.0,26.0,Payment,"My payment failed for order #789012, but the funds were withdrawn.",High,-0.9992688298225403,0,Medium
T000076,17/11/2025 16:26,C40404,Platinum,11.0,38.0,Product,The item arrived damaged. I need a replacement urgently.,High,-0.9996576309204102,1,High
T000077,18/11/2025 0:02,C50505,Classic,1.0,4.0,Order,Could you please confirm the status of my order #345678?,Low,-0.974117636680603,0,Low
T000078,18/11/2025 9:36,C60606,Silver,2.0,6.0,Refund,I want to initiate a refund for an item I no longer need.,Medium,-0.791275680065155,0,Low
T000079,18/11/2025 18:37,C70707,Gold,8.0,30.0,Login,I am locked out of my account and need help immediately.,High,-0.9992432594299316,0,Medium
T000080,19/11/2025 3:18,C80808,Platinum,10.0,42.0,Account,I need to change my billing address.,Medium,-0.9996098875999451,0,High
T000081,19/11/2025 11:18,C90909,Classic,3.0,11.0,Delivery,My delivery is marked as urgent. Please expedite.,High,0.5917662978172302,1,Low
T000082,19/11/2025 20:33,C11234,Silver,5.0,18.0,Payment,I have a question about a recent payment. It seems incorrect.,Medium,-0.9996016621589661,0,Medium
T000083,20/11/2025 4:32,C54321,Gold,6.0,24.0,Product,This product is not working as advertised. I need a solution now.,High,-0.9991588592529297,0,Medium
T000084,20/11/2025 12:33,C98765,Platinum,13.0,48.0,Order,I need to cancel my order #445566. It's an urgent request.,High,-0.9932790398597717,1,High
T000085,20/11/2025 22:11,C23456,Classic,2.0,5.0,Login,I cannot get into my account. This is very inconvenient.,High,-0.9994903802871704,0,Low
T000086,21/11/2025 7:11,C87654,Silver,4.0,13.0,Delivery,My package is lost in transit. Can you track it down?,Medium,-0.999626874923706,0,Low
T000087,21/11/2025 14:16,C34567,Gold,7.0,27.0,Refund,I am very unhappy with the service. I need a refund processed quickly.,High,-0.9997900128364563,0,Medium
T000088,21/11/2025 23:53,C76543,Platinum,15.0,46.0,Payment,My payment is stuck. I need this resolved immediately or I will dispute the charge.,High,-0.9996418952941895,0,High
T000089,22/11/2025 9:22,C45678,Classic,1.0,2.0,Account,Just checking if my email update was successful.,Low,-0.9941348433494568,0,Low
T000090,22/11/2025 18:06,C65432,Silver,3.0,7.0,Product,The color of the item I received is not what I ordered.,Medium,-0.9997528195381165,0,Low
T000091,23/11/2025 2:37,C56789,Gold,9.0,32.0,Delivery,This is the third time my delivery has been late. This needs to be fixed.,High,-0.9996832609176636,0,High
T000092,23/11/2025 10:13,C98765,Platinum,11.0,39.0,Login,I am locked out of my account and need to get in ASAP. This is urgent.,High,-0.9599464535713196,1,High
T000093,23/11/2025 18:32,C12398,Classic,4.0,15.0,Payment,I have a question about the billing cycle.,Medium,-0.9913028478622437,0,Low
T000094,24/11/2025 3:54,C87965,Silver,2.0,4.0,Order,When will my order #556677 ship?,Low,-0.9992965459823608,0,Low
T000095,24/11/2025 13:16,C34987,Gold,8.0,29.0,Account,I need to change my primary email address.,Medium,-0.9996187686920166,0,Medium
T000096,24/11/2025 21:16,C76985,Platinum,10.0,37.0,Refund,This refund is taking ages. I want my money back now!,High,-0.9991807341575623,1,High
T000097,25/11/2025 4:41,C45987,Classic,3.0,9.0,Login,I am having trouble logging in. Please help.,High,-0.9946016073226929,0,Low
T000098,25/11/2025 14:15,C65987,Silver,6.0,20.0,Product,The item is not compatible with my existing setup.,Medium,-0.9997935891151428,0,Medium
T000099,25/11/2025 22:00,C56987,Gold,10.0,34.0,Delivery,My package is late again. I need this delivery immediately.,High,-0.9885799288749695,0,High
T000100,26/11/2025 6:52,C98987,Platinum,5.0,44.0,Other,Can you provide more information on the extended warranty?,Medium,-0.9978792667388916,0,High
T000101,26/11/2025 17:12,C12112,Classic,1.0,3.0,Payment,Just a quick question about a charge.,Low,-0.9815396666526794,0,Low
T000102,27/11/2025 0:26,C87878,Silver,5.0,16.0,Login,"I cannot access my account, and it is urgent.",High,-0.9764001369476318,1,Medium
T000103,27/11/2025 9:09,C34343,Gold,7.0,25.0,Delivery,My delivery is delayed. I need this package as soon as possible.,High,-0.998596727848053,0,Medium
T000104,27/11/2025 18:05,C12345,Classic,1.0,5.5,Login,"I cannot login to my account, please reset my password asap",High,-0.9908329844474792,1,Low
T000105,28/11/2025 3:15,C67890,Silver,3.0,12.0,Payment,"My recent payment failed, can you please check why",Medium,-0.999652624130249,0,Low
T000106,28/11/2025 11:09,C11223,Gold,7.0,28.0,Delivery,"My package is delayed for the third time, I need it urgently",High,-0.9939752221107483,1,Medium
T000107,28/11/2025 20:51,C44556,Platinum,5.0,18.0,Refund,I would like to request a refund for order #ABC123,Medium,-0.9985936284065247,0,Medium
T000108,29/11/2025 4:50,C77889,Classic,0.0,2.0,Product,Just wondering about the features of product XYZ,Low,0.5983180999755859,0,Low
T000109,29/11/2025 13:27,C99001,Silver,2.0,8.0,Order,I need to change the shipping address for my order,Medium,-0.9996187686920166,0,Low
T000110,29/11/2025 21:05,C10112,Gold,6.0,30.0,Account,My account is locked and I need immediate access,High,-0.9990598559379578,0,Medium
T000111,30/11/2025 5:53,C13141,Platinum,4.0,20.0,Login,"I'm having trouble logging in, can you help",Medium,-0.9980397820472717,0,Medium
T000112,30/11/2025 15:45,C15161,Classic,1.0,23.0,Payment,My card was charged twice for the same order,Low,-0.99072265625,0,Medium
T000113,30/11/2025 23:55,C17181,Silver,3.0,15.0,Delivery,When can I expect my delivery for order #DEF456,Medium,-0.9937348961830139,0,Low
T000114,1/12/2025 9:12,C19202,Gold,8.0,35.0,Refund,"This refund is taking too long, I'm very frustrated",High,-0.9997027516365051,0,High
T000115,1/12/2025 16:22,C21222,Platinum,5.0,22.0,Product,The product I received is not as described,Medium,-0.9992586970329285,0,Medium
T000116,2/12/2025 1:05,C23242,Classic,0.0,1.5,Other,Could you assist me with a general question about your services,Low,-0.7317427396774292,0,Low
T000117,2/12/2025 10:52,C25262,Silver,2.0,9.0,Account,I need to update my phone number on file,Medium,-0.9995129108428955,0,Low
T000118,2/12/2025 18:50,C27282,Gold,7.0,32.0,Login,"I'm locked out of my account again, this is unacceptable",High,-0.9997236132621765,0,High
T000119,3/12/2025 3:32,C29303,Platinum,4.0,19.0,Payment,There's an unauthorized charge on my credit card,Medium,-0.9981235861778259,0,Medium
T000120,3/12/2025 13:05,C31323,Classic,1.0,4.0,Delivery,Just wanted to check the status of my delivery,Low,-0.9495186805725098,0,Low
T000121,3/12/2025 20:30,C33343,Silver,3.0,14.0,Order,Can I cancel my order #GHI789,Medium,-0.9997119307518005,0,Low
T000122,4/12/2025 5:35,C35363,Gold,6.0,29.0,Product,"The item arrived damaged, I need a replacement",Medium,-0.9996954202651978,0,Medium
T000123,4/12/2025 13:45,C37383,Platinum,5.0,25.0,Refund,"I need my refund processed immediately, this has taken too long",High,-0.999763548374176,0,Medium
T000124,4/12/2025 22:53,C39404,Classic,0.0,2.5,Login,"I cannot login, please help me reset my password urgently",High,-0.9985483288764954,0,Low
T000125,5/12/2025 8:35,C41424,Silver,2.0,7.0,Payment,"My payment was declined, what's the issue",Low,-0.9957518577575684,0,Low
T000126,5/12/2025 16:35,C43444,Gold,7.0,31.0,Delivery,My delivery is still not here and I was promised it today,High,-0.9976978898048401,0,Medium
T000127,6/12/2025 1:50,C45464,Platinum,4.0,21.0,Account,I need to change my registered email address,Medium,-0.9994820952415466,0,Medium
T000128,6/12/2025 8:39,C47484,Classic,1.0,5.0,Product,Is product JKL compatible with my system,Low,0.9703025221824646,0,Low
T000129,6/12/2025 17:24,C49505,Silver,3.0,13.0,Refund,Can you please expedite my refund request,Medium,-0.9920018911361694,0,Low
T000130,7/12/2025 2:08,C51525,Gold,8.0,33.0,Login,I'm locked out of my account and need access NOW,High,-0.9984203577041626,0,High
T000131,7/12/2025 11:49,C53545,Platinum,5.0,23.0,Order,I need to modify my order details before it ships,Medium,-0.9996370077133179,0,Medium
T000132,7/12/2025 20:57,C55565,Classic,0.0,23.0,Delivery,Just checking on the delivery status of my recent order,Low,-0.9856854677200317,0,Medium
T000133,8/12/2025 3:57,C57585,Silver,2.0,10.0,Payment,My card has been charged incorrectly,Medium,-0.9984826445579529,0,Low
T000134,8/12/2025 12:27,C59606,Gold,6.0,27.0,Account,"My address change has not been updated, this is urgent",High,-0.9935113787651062,1,Medium
T000135,8/12/2025 22:49,C61626,Platinum,4.0,17.0,Product,The color of the product is different from what I ordered,Medium,0.9917520880699158,0,Medium
T000136,9/12/2025 6:39,C63646,Classic,1.0,6.0,Login,"Still unable to login after trying to reset my password, this is frustrating",High,-0.999473512172699,0,Low
T000137,9/12/2025 16:08,C65666,Silver,3.0,16.0,Delivery,"My delivery window has passed, when will it arrive",Medium,-0.9990900754928589,0,Medium
T000138,9/12/2025 23:23,C67686,Gold,7.0,34.0,Refund,"I need this refund processed immediately, it's been weeks",High,-0.9975307583808899,0,High
T000139,10/12/2025 8:01,C69707,Platinum,5.0,20.0,Payment,My payment for order #MNO123 is still pending,Medium,-0.9943031072616577,0,Medium
T000140,10/12/2025 17:56,C71727,Classic,0.0,23.0,Order,Could you please provide an update on my order status,Low,-0.9903751015663147,0,Medium
T000141,11/12/2025 1:53,C73747,Silver,2.0,8.5,Product,The product is not functioning as expected,Medium,-0.9997829794883728,0,Low
T000142,11/12/2025 10:22,C75767,Gold,6.0,30.0,Login,"I'm locked out of my account again, please fix this ASAP",High,-0.9992576241493225,1,Medium
T000143,11/12/2025 19:35,C77787,Platinum,4.0,18.0,Delivery,My package seems to be lost in transit,Medium,-0.9997560381889343,0,Medium
T000144,12/12/2025 3:00,C79808,Classic,1.0,4.5,Account,Can you help me update my billing information,Low,-0.9958113431930542,0,Low
T000145,12/12/2025 12:33,C81828,Silver,3.0,11.0,Refund,I'm waiting for a refund on a returned item,Medium,-0.9991406202316284,0,Low
T000146,12/12/2025 21:36,C83848,Gold,8.0,36.0,Payment,This recurring charge needs to be stopped immediately,High,-0.9870885014533997,0,High
T000147,13/12/2025 5:35,C85868,Platinum,5.0,24.0,Login,I forgot my password and cannot access my account,Medium,-0.9996813535690308,0,Medium
T000148,13/12/2025 13:51,C87888,Classic,0.0,3.0,Delivery,What is the estimated delivery time for my order,Low,-0.9977815747261047,0,Low
T000149,13/12/2025 23:33,C89909,Silver,2.0,9.5,Order,I need to change the quantity of an item in my order,Medium,-0.9995560050010681,0,Low
T000150,14/12/2025 7:58,C91929,Gold,7.0,31.0,Product,The product is defective and I need a replacement urgently,High,-0.999761164188385,0,Medium
T000151,14/12/2025 15:14,C93949,Platinum,4.0,20.0,Refund,Can you confirm if my refund has been processed,Medium,-0.9966109395027161,0,Medium
T000152,15/12/2025 0:34,C95969,Classic,1.0,5.0,Payment,My payment method has expired,Low,-0.9986863732337952,0,Low
T000153,15/12/2025 9:38,C97989,Silver,3.0,15.0,Login,I am unable to log in to my account,Medium,-0.9992210865020752,0,Low
T000154,15/12/2025 18:07,C99000,Gold,6.0,29.0,Delivery,My delivery is overdue and I need it now,High,0.5337071418762207,0,Medium
T000155,16/12/2025 3:33,C12345,Classic,1.0,5.2,Login,I cannot login to my account. It says my password is wrong.,High,-0.9991982579231262,0,Low
T000156,16/12/2025 11:59,C67890,Silver,3.0,12.5,Payment,"I have an issue with a recent payment, can you help?",Medium,-0.9970792531967163,0,Low
T000157,16/12/2025 20:24,C11223,Gold,7.0,30.1,Delivery,My order has not arrived and it was supposed to be here yesterday.,High,-0.9991664886474609,0,Medium
T000158,17/12/2025 4:32,C44556,Platinum,5.0,40.5,Refund,"I need a refund for item X, it arrived damaged.",High,-0.9997639060020447,0,High
T000159,17/12/2025 13:53,C77889,Classic,0.0,2.1,Product,Just wondering about the warranty for product Y.,Low,-0.981186032295227,0,Low
T000160,17/12/2025 22:33,C99001,Silver,2.0,8.0,Order,I need to change the shipping address for order Z.,Medium,-0.9996021389961243,0,Low
T000161,18/12/2025 7:29,C22334,Gold,6.0,25.0,Account,"I need to update my contact information, please.",High,-0.9983735084533691,0,Medium
T000162,18/12/2025 15:00,C55667,Platinum,9.0,38.2,Login,I'm locked out of my account and need assistance asap.,Medium,-0.999198853969574,1,High
T000163,19/12/2025 0:27,C88990,Classic,2.0,6.5,Payment,My credit card was charged twice for order A.,Medium,-0.9853501319885254,0,Low
T000164,19/12/2025 7:44,C10112,Silver,4.0,15.0,Delivery,This is the second time my delivery has been delayed. I'm frustrated.,High,-0.9996008276939392,0,Low
T000165,19/12/2025 16:28,C33445,Gold,8.0,33.0,Product,The product I received is not what was described on the website.,Medium,-0.999576985836029,0,High
T000166,20/12/2025 2:41,C66778,Platinum,11.0,42.0,Refund,"I demand an immediate refund for my order, it's completely unusable.",High,-0.9993164539337158,0,High
T000167,20/12/2025 11:00,C99001,Classic,1.0,4.0,Other,Could you assist me with setting up my new device?,Low,-0.9960761666297913,0,Low
T000168,20/12/2025 18:46,C22334,Silver,3.0,10.0,Account,I need to change the email associated with my account.,Medium,-0.9993316531181335,0,Low
T000169,21/12/2025 4:19,C55667,Gold,7.0,28.0,Login,"I cannot reset my password, the link is not working.",High,-0.9997209906578064,0,Medium
T000170,21/12/2025 13:08,C88990,Platinum,10.0,39.5,Payment,My payment failed but the money was deducted from my bank. I need this fixed immediately.,High,-0.9989635944366455,0,High
T000171,21/12/2025 20:10,C10112,Classic,0.0,3.5,Delivery,When can I expect my package? It was shipped two days ago.,Medium,-0.9980009198188782,0,Low
T000172,22/12/2025 5:32,C33445,Silver,5.0,18.0,Order,I received the wrong item for order B. Can you help?,Medium,-0.999680757522583,0,Medium
T000173,22/12/2025 14:22,C66778,Classic,9.0,35.0,Refund,I am requesting a refund for my damaged goods. This is unacceptable.,High,-0.9997712969779968,0,High
T000174,22/12/2025 22:23,C99001,Platinum,12.0,45.0,Product,The item I received is defective and I need a replacement or refund urgently.,High,-0.9996811151504517,0,High
T000175,23/12/2025 6:58,C22334,Classic,2.0,7.0,Account,I need to update my billing address.,Medium,-0.9995989203453064,0,Low
T000176,23/12/2025 16:51,C55667,Silver,4.0,14.0,Login,I'm locked out of my account again. This is very frustrating.,High,-0.9994838237762451,0,Low
T000177,24/12/2025 1:41,C88990,Gold,8.0,31.0,Delivery,My order is significantly late and I need it now. Where is it?,High,-0.9989175796508789,0,Medium
T000178,24/12/2025 9:39,C10112,Platinum,10.0,41.0,Payment,I was overcharged for my last order. Please correct this immediately.,High,-0.7010666131973267,0,High
T000179,24/12/2025 18:18,C33445,Classic,1.0,6.0,Product,Just checking on the status of a product inquiry.,Low,-0.9950054287910461,0,Low
T000180,25/12/2025 2:51,C66778,Silver,3.0,11.0,Order,Can I cancel an order that was just placed?,Medium,-0.9997084736824036,0,Low
T000181,25/12/2025 10:58,C99001,Gold,7.0,29.0,Refund,My refund is taking too long. I need it processed asap.,High,-0.9995298385620117,1,Medium
T000182,25/12/2025 19:43,C22334,Platinum,9.0,37.5,Login,I forgot my password and need to reset it. Please help.,Medium,-0.997724711894989,0,High
T000183,26/12/2025 3:44,C55667,Classic,0.0,2.5,Delivery,What is the estimated delivery time for my order?,Low,-0.9992203712463379,0,Low
T000184,26/12/2025 14:09,C88990,Silver,4.0,16.0,Payment,I have a question about a charge on my statement.,Medium,-0.9767405390739441,0,Medium
T000185,26/12/2025 22:11,C10112,Gold,8.0,32.0,Account,I need to change my registered email address urgently.,High,-0.9993035793304443,0,High
T000186,27/12/2025 6:57,C33445,Platinum,11.0,43.0,Order,The item I ordered is out of stock and I was not notified. I need a solution now.,High,-0.9996806383132935,0,High
T000187,27/12/2025 14:33,C66778,Classic,1.0,5.0,Login,I am unable to login to my account. It keeps saying invalid credentials.,High,-0.9972987771034241,0,Low
T000188,28/12/2025 0:25,C99001,Silver,5.0,20.0,Delivery,My package was marked as delivered but I never received it. This is the third time this has happened.,High,-0.9988712668418884,0,Medium
T000189,28/12/2025 9:10,C22334,Classic,9.0,36.0,Product,The color of the product is different from what was shown online.,Medium,0.51783686876297,0,High
T000190,28/12/2025 17:18,C55667,Platinum,10.0,40.0,Refund,I am very unhappy with this product and require an immediate refund.,High,-0.9997461438179016,0,High
T000191,29/12/2025 1:59,C88990,Classic,2.0,8.0,Other,Can you please provide information on how to return an item?,Low,-0.8902958631515503,0,Low
T000192,29/12/2025 10:55,C10112,Silver,4.0,13.0,Login,I'm having trouble logging into my account.,Medium,-0.9992891550064087,0,Low
T000193,29/12/2025 19:37,C33445,Gold,7.0,27.0,Payment,My payment was declined but I have sufficient funds. This needs to be fixed.,High,-0.9969671368598938,0,Medium
T000194,30/12/2025 2:54,C66778,Platinum,9.0,38.0,Delivery,This delivery is extremely late and I need it as soon as possible. This is urgent.,High,0.9662591814994812,0,High
T000195,30/12/2025 12:30,C99001,Classic,0.0,3.0,Account,Just wondering when my account details will be updated.,Low,-0.9971151351928711,0,Low
T000196,30/12/2025 20:18,C22334,Silver,3.0,10.5,Order,I accidentally ordered the wrong size. Can this be changed?,Medium,-0.9996256828308105,0,Low
T000197,31/12/2025 5:34,C55667,Gold,8.0,30.0,Refund,I need a refund for a faulty item. This is not acceptable.,High,-0.999796450138092,0,Medium
